school,health,absences,freetime,studytime,previous_fails,school_support,paid_support,semester_1_grade,semester_2_grade,final_grade
GP,3.00,6.00,3.00,2.00,0.00,yes,no,13,11,12
GP,3.00,4.00,3.00,2.00,0.00,no,no,8,3,5.5
GP,3.00,10.00,3.00,2.00,3.00,yes,yes,10,9,9.5
GP,5.00,2.00,2.00,3.00,0.00,no,yes,1,12,6.5
GP,5.00,4.00,3.00,2.00,0.00,no,yes,8,3,5.5
GP,5.00,10.00,4.00,2.00,0.00,no,yes,19,9,14
GP,3.00,0.00,4.00,2.00,0.00,no,no,18,15,16.5
GP,1.00,6.00,1.00,2.00,0.00,yes,no,11,16,13.5
GP,1.00,0.00,2.00,2.00,0.00,no,yes,4,16,10
GP,5.00,0.00,5.00,2.00,0.00,no,yes,17,3,10
GP,2.00,0.00,3.00,2.00,0.00,no,yes,14,14,14
GP,4.00,4.00,2.00,3.00,0.00,no,no,16,9,12.5
GP,5.00,2.00,3.00,1.00,0.00,no,yes,18,6,12
GP,3.00,2.00,4.00,2.00,0.00,no,yes,15,4,9.5
GP,3.00,0.00,5.00,3.00,0.00,no,no,16,19,17.5
GP,2.00,4.00,4.00,1.00,0.00,no,no,19,12,15.5
GP,2.00,6.00,2.00,3.00,0.00,no,yes,19,19,19
GP,4.00,4.00,3.00,2.00,0.00,yes,no,12,8,10
GP,5.00,16.00,5.00,1.00,3.00,no,no,11,7,9
GP,5.00,4.00,1.00,1.00,0.00,no,yes,10,15,12.5
GP,1.00,0.00,4.00,2.00,0.00,no,no,15,10,12.5
GP,5.00,0.00,4.00,1.00,0.00,no,yes,15,6,10.5
GP,5.00,2.00,5.00,2.00,0.00,no,no,17,5,11
GP,5.00,0.00,4.00,2.00,0.00,no,no,17,13,15
GP,5.00,2.00,3.00,3.00,0.00,yes,yes,15,17,16
GP,5.00,14.00,2.00,1.00,2.00,no,yes,14,10,12
GP,5.00,2.00,2.00,1.00,0.00,no,yes,15,13,14
GP,1.00,4.00,2.00,1.00,0.00,no,yes,18,16,17
GP,5.00,4.00,3.00,2.00,0.00,yes,no,12,13,12.5
GP,5.00,16.00,4.00,2.00,0.00,no,yes,14,18,16
GP,5.00,0.00,4.00,2.00,0.00,no,yes,13,19,16
GP,5.00,0.00,3.00,2.00,0.00,no,no,4,16,10
GP,5.00,0.00,5.00,2.00,0.00,no,no,1,8,4.5
GP,2.00,0.00,3.00,2.00,0.00,no,no,10,3,6.5
GP,5.00,0.00,4.00,1.00,0.00,no,yes,0,5,2.5
GP,5.00,0.00,5.00,1.00,0.00,no,no,9,3,6
GP,4.00,2.00,4.00,3.00,0.00,no,no,1,20,10.5
GP,5.00,7.00,4.00,3.00,0.00,no,no,2,12,7
GP,5.00,2.00,3.00,3.00,0.00,yes,yes,14,12,13
GP,2.00,8.00,3.00,1.00,0.00,yes,yes,19,13,16
GP,3.00,25.00,3.00,2.00,1.00,no,no,8,7,7.5
GP,5.00,8.00,4.00,1.00,0.00,no,no,13,6,9.5
GP,5.00,2.00,3.00,2.00,0.00,no,no,2,9,5.5
GP,1.00,0.00,4.00,1.00,0.00,yes,no,15,13,14
GP,5.00,14.00,3.00,2.00,1.00,yes,no,13,11,12
GP,5.00,8.00,2.00,2.00,0.00,yes,yes,11,9,10
GP,3.00,12.00,3.00,2.00,0.00,no,no,16,13,14.5
GP,2.00,4.00,2.00,4.00,0.00,no,no,5,11,8
GP,5.00,2.00,3.00,2.00,0.00,no,yes,2,7,4.5
GP,3.00,2.00,4.00,2.00,1.00,yes,no,12,18,15
GP,4.00,2.00,3.00,2.00,0.00,no,yes,17,10,13.5
GP,5.00,2.00,3.00,2.00,0.00,no,yes,17,20,18.5
GP,5.00,6.00,5.00,1.00,1.00,no,no,18,18,18
GP,5.00,0.00,3.00,1.00,0.00,yes,yes,13,17,15
GP,1.00,6.00,3.00,1.00,0.00,no,yes,12,17,14.5
GP,2.00,8.00,3.00,2.00,0.00,no,yes,12,10,11
GP,1.00,0.00,3.00,2.00,0.00,no,yes,16,12,14
GP,5.00,4.00,2.00,2.00,0.00,no,no,16,7,11.5
GP,5.00,2.00,3.00,2.00,0.00,yes,no,16,18,17
GP,5.00,2.00,2.00,2.00,0.00,no,no,18,3,10.5
GP,4.00,6.00,4.00,2.00,0.00,no,no,12,19,15.5
GP,5.00,6.00,5.00,1.00,0.00,yes,no,11,12,11.5
GP,1.00,4.00,4.00,2.00,0.00,yes,no,9,7,8
GP,4.00,2.00,4.00,3.00,0.00,yes,yes,13,10,11.5
GP,2.00,0.00,4.00,2.00,0.00,yes,no,16,20,18
GP,1.00,2.00,4.00,2.00,0.00,no,no,4,10,7
GP,3.00,4.00,3.00,4.00,0.00,no,no,17,17,17
GP,5.00,4.00,3.00,4.00,0.00,yes,yes,14,5,9.5
GP,4.00,2.00,1.00,2.00,0.00,yes,yes,9,15,12
GP,3.00,12.00,4.00,4.00,0.00,no,no,4,4,4
GP,5.00,0.00,3.00,4.00,0.00,no,yes,17,12,14.5
GP,3.00,0.00,3.00,4.00,0.00,no,no,12,6,9
GP,5.00,2.00,3.00,2.00,2.00,yes,no,13,9,11
GP,5.00,2.00,3.00,1.00,0.00,no,no,15,16,15.5
GP,5.00,54.00,3.00,2.00,0.00,yes,yes,16,4,10
GP,5.00,6.00,3.00,2.00,0.00,no,yes,14,14,14
GP,1.00,8.00,4.00,4.00,0.00,no,no,13,19,16
GP,3.00,0.00,2.00,4.00,0.00,no,yes,12,10,11
GP,3.00,2.00,5.00,1.00,3.00,yes,no,12,20,16
GP,3.00,12.00,4.00,2.00,0.00,no,no,11,11,11
GP,3.00,2.00,2.00,1.00,0.00,yes,yes,11,7,9
GP,5.00,4.00,3.00,3.00,0.00,yes,yes,14,18,16
GP,5.00,10.00,4.00,2.00,0.00,no,yes,11,13,12
GP,4.00,4.00,3.00,2.00,0.00,no,yes,17,9,13
GP,4.00,2.00,3.00,2.00,0.00,no,no,17,17,17
GP,5.00,6.00,4.00,2.00,2.00,no,yes,11,6,8.5
GP,2.00,4.00,3.00,2.00,0.00,no,no,11,6,8.5
GP,1.00,4.00,3.00,3.00,0.00,no,no,18,13,15.5
GP,3.00,12.00,4.00,2.00,1.00,no,yes,18,10,14
GP,5.00,18.00,1.00,2.00,0.00,no,no,16,9,12.5
GP,4.00,0.00,3.00,3.00,0.00,no,yes,8,3,5.5
GP,1.00,4.00,5.00,1.00,0.00,no,yes,17,14,15.5
GP,2.00,4.00,3.00,2.00,0.00,yes,no,12,17,14.5
GP,1.00,0.00,3.00,2.00,0.00,no,yes,12,7,9.5
GP,4.00,6.00,3.00,4.00,0.00,no,no,14,12,13
GP,1.00,2.00,1.00,4.00,1.00,yes,yes,11,11,11
GP,4.00,2.00,3.00,1.00,0.00,yes,no,13,11,12
GP,5.00,2.00,3.00,2.00,0.00,no,yes,9,20,14.5
GP,1.00,6.00,3.00,1.00,0.00,no,no,13,11,12
GP,3.00,0.00,3.00,3.00,0.00,yes,yes,10,7,8.5
GP,4.00,14.00,5.00,1.00,0.00,yes,yes,15,6,10.5
GP,4.00,0.00,4.00,3.00,0.00,no,no,4,10,7
GP,5.00,4.00,3.00,1.00,0.00,no,no,14,6,10
GP,2.00,26.00,3.00,2.00,0.00,yes,yes,10,20,15
